record_id,factory_id,factory_name,latitude,longitude,production_line,machine_id,machine_type,timestamp,shift,units_produced,machine_hours,defects,defect_level,operator_id,operator_notes,date
R00057,F002,East Plant,19.07413095,72.87722209,Line-A,F002_Line-A_Press_9,Press,11-02-2025 05:18,Day,122,10.52,1,Low,OP040,normal operation,11-02-2025
R00058,F003,South Plant,12.97237368,77.58598716,Line-C,F003_Line-C_CNC_9,CNC,08-02-2025 08:18,Day,106,7.91,4,Medium,OP043,normal operation,08-02-2025
R00059,F001,North Plant,28.68496222,77.11191285,Line-A,F001_Line-A_CNC_2,CNC,14-03-2025 03:23,Day,130,8.47,2,Low,OP010,normal operation,14-03-2025
R00060,F002,East Plant,19.07648522,72.8693905,Line-B,F002_Line-B_Lathe_6,Lathe,28-01-2025 02:27,Day,82,7.87,2,Low,OP044,normal operation,28-01-2025
R00061,F003,South Plant,12.96435998,77.5892742,Line-B,F003_Line-B_Press_5,Press,08-01-2025 06:30,Day,98,8.04,5,Medium,OP006,normal operation,08-01-2025
R00062,F003,South Plant,12.96250307,77.60098624,Line-B,F003_Line-B_Robot_1,Robot,02-01-2025 10:48,Evening,148,6.57,3,Medium,OP022,lubrication,02-01-2025
R00063,F003,South Plant,12.9804193,77.57775128,Line-B,F003_Line-B_CNC_8,CNC,13-03-2025 05:35,Evening,142,9.36,3,Medium,OP046,normal operation,13-03-2025
R00064,F002,East Plant,19.07528326,72.86746181,Line-C,F002_Line-C_CNC_2,CNC,30-03-2025 13:32,Evening,65,3.63,2,Low,OP010,sensor none jam,30-03-2025
R00065,F001,North Plant,28.71078101,77.10060792,Line-B,F001_Line-B_Lathe_3,Lathe,26-02-2025 23:28,Day,89,9.13,3,Medium,OP009,normal operation,26-02-2025
R00066,F001,North Plant,28.69909214,77.12157019,Line-B,F001_Line-B_Press_1,Press,16-02-2025 11:39,Evening,99,8.18,2,Low,OP014,misalignment none none,16-02-2025
R00067,F001,North Plant,28.71096832,77.07910407,Line-C,F001_Line-C_CNC_9,CNC,23-02-2025 11:12,Evening,113,6.37,3,Medium,OP040,normal operation,23-02-2025
R00068,F003,South Plant,12.98865825,77.5942767,Line-A,F003_Line-A_Milling_4,Milling,22-01-2025 00:09,Day,118,10.95,3,Medium,OP012,normal operation,22-01-2025
R00069,F002,East Plant,19.07193725,72.88030529,Line-A,F002_Line-A_CNC_6,CNC,23-02-2025 15:48,Evening,128,8.36,3,Medium,OP043,normal operation,23-02-2025
R00070,F003,South Plant,12.98574251,77.58986411,Line-A,F003_Line-A_CNC_2,CNC,18-02-2025 23:24,Day,133,8.89,4,Medium,OP003,normal operation,18-02-2025
R00071,F002,East Plant,19.06422214,72.87089738,Line-A,F002_Line-A_CNC_8,CNC,15-02-2025 02:27,Evening,105,7.36,4,Medium,OP020,normal operation,15-02-2025
R00072,F001,North Plant,28.71614971,77.10922425,Line-A,F001_Line-A_CNC_4,CNC,21-02-2025 13:59,Evening,95,6.2,2,Low,OP022,normal operation,21-02-2025
R00073,F002,East Plant,19.06365056,72.86670644,Line-A,F002_Line-A_Milling_5,Milling,14-02-2025 15:30,Day,86,7.33,1,Low,OP042,normal operation,14-02-2025
R00074,F003,South Plant,12.96949983,77.5851246,Line-B,F003_Line-B_Lathe_9,Lathe,13-02-2025 10:57,Day,52,4.8,3,Medium,OP002,normal operation,13-02-2025
R00075,F001,North Plant,28.71214439,77.10092786,Line-B,F001_Line-B_CNC_5,CNC,05-01-2025 11:55,Night,40,2.44,2,Low,OP007,none power misalignment,05-01-2025
R00076,F002,East Plant,19.1017336,72.87829218,Line-B,F002_Line-B_Lathe_6,Lathe,26-02-2025 20:00,Evening,35,3.37,0,None,OP039,normal operation,26-02-2025
R00077,F003,South Plant,12.95509264,77.60160942,Line-A,F003_Line-A_Press_10,Press,26-01-2025 02:13,Day,99,7.86,2,Low,OP017,calibration,26-01-2025
R00078,F003,South Plant,12.96331342,77.60381635,Line-B,F003_Line-B_CNC_9,CNC,30-03-2025 05:54,Evening,144,9.32,1,Low,OP047,calibration power power,30-03-2025
R00079,F003,South Plant,12.97185571,77.58049149,Line-C,F003_Line-C_CNC_7,CNC,10-01-2025 03:03,Night,115,7.54,3,Medium,OP043,normal operation,10-01-2025
R00080,F002,East Plant,19.07613001,72.87831569,Line-C,F002_Line-C_Press_2,Press,08-02-2025 14:28,Evening,110,8.87,5,Medium,OP033,normal operation,08-02-2025
R00081,F002,East Plant,19.06358499,72.86953695,Line-C,F002_Line-C_Press_7,Press,31-03-2025 14:13,Day,81,7.16,4,Medium,OP019,vibration misalignment overheat,31-03-2025
R00082,F001,North Plant,28.70621017,77.10153287,Line-A,F001_Line-A_Press_7,Press,29-03-2025 23:55,Day,64,4.48,3,Medium,OP048,normal operation,29-03-2025
R00083,F001,North Plant,28.7256524,77.10922257,Line-C,F001_Line-C_Lathe_7,Lathe,12-03-2025 16:55,Night,71,7.59,4,Medium,OP001,normal operation,12-03-2025
R00084,F002,East Plant,19.07795845,72.86791627,Line-B,F002_Line-B_CNC_10,CNC,19-03-2025 15:37,Night,87,5.81,1,Low,OP042,normal operation,19-03-2025
R00085,F002,East Plant,19.08311623,72.86437256,Line-B,F002_Line-B_Press_4,Press,08-03-2025 08:48,Evening,55,4.17,0,None,OP031,none lubrication calibration,08-03-2025
R00086,F001,North Plant,28.70557208,77.10027459,Line-C,F001_Line-C_CNC_9,CNC,29-03-2025 00:00,Night,91,6.77,1,Low,OP041,normal operation,29-03-2025
R00087,F003,South Plant,12.97110191,77.58340885,Line-B,F003_Line-B_CNC_4,CNC,29-03-2025 15:44,Evening,105,7.27,2,Low,OP020,normal operation,29-03-2025
R00088,F001,North Plant,28.69141978,77.08920854,Line-A,F001_Line-A_CNC_1,CNC,02-02-2025 06:57,Day,85,5.78,4,Medium,OP031,none overheat sensor,02-02-2025
R00089,F001,North Plant,28.70102214,77.09591102,Line-B,F001_Line-B_Press_10,Press,27-01-2025 05:34,Evening,75,5.6,0,None,OP046,vibration lubrication overheat,27-01-2025
R00090,F002,East Plant,19.07639742,72.87781348,Line-B,F002_Line-B_Press_3,Press,26-03-2025 13:03,Evening,110,9.15,5,Medium,OP045,normal operation,26-03-2025
R00091,F001,North Plant,28.68457513,77.09970501,Line-A,F001_Line-A_Robot_4,Robot,24-01-2025 06:27,Evening,158,7.97,0,None,OP045,normal operation,24-01-2025
R00092,F003,South Plant,12.97093124,77.58796374,Line-B,F003_Line-B_CNC_4,CNC,17-01-2025 07:57,Day,108,7.1,3,Medium,OP030,normal operation,17-01-2025
R00093,F001,North Plant,28.67880663,77.11548178,Line-B,F001_Line-B_Lathe_9,Lathe,20-03-2025 14:31,Evening,78,8.25,2,Low,OP021,normal operation,20-03-2025
R00094,F002,East Plant,19.08610137,72.87573739,Line-C,F002_Line-C_Robot_9,Robot,26-02-2025 02:04,Night,89,5.47,2,Low,OP036,normal operation,26-02-2025
R00095,F002,East Plant,19.07090142,72.85285388,Line-A,F002_Line-A_Lathe_8,Lathe,27-02-2025 07:45,Night,16,1.92,0,None,OP017,jam,27-02-2025
R00096,F003,South Plant,12.96739813,77.59178215,Line-B,F003_Line-B_Robot_9,Robot,05-03-2025 17:19,Night,134,6.48,2,Low,OP041,normal operation,05-03-2025
R00097,F001,North Plant,28.70244277,77.09424415,Line-B,F001_Line-B_Press_5,Press,31-01-2025 08:24,Day,81,5.51,2,Low,OP018,sensor sensor,31-01-2025
R00098,F002,East Plant,19.0696226,72.87239003,Line-C,F002_Line-C_CNC_3,CNC,01-02-2025 16:29,Day,106,7.15,3,Medium,OP025,normal operation,01-02-2025
R00099,F003,South Plant,12.96786601,77.5828643,Line-A,F003_Line-A_Lathe_2,Lathe,23-02-2025 15:36,Evening,60,5.75,5,Medium,OP027,normal operation,23-02-2025
R00100,F002,East Plant,19.09147505,72.89565878,Line-C,F002_Line-C_Press_1,Press,28-01-2025 15:15,Day,120,9.32,2,Low,OP027,normal operation,28-01-2025
R00101,F002,East Plant,19.08484101,72.86819316,Line-C,F002_Line-C_Milling_1,Milling,15-03-2025 15:47,Night,64,5.96,3,Medium,OP025,calibration lubrication,15-03-2025
R00102,F001,North Plant,28.72936932,77.09719131,Line-B,F001_Line-B_CNC_7,CNC,23-02-2025 11:59,Day,119,7.67,4,Medium,OP035,normal operation,23-02-2025
R00103,F003,South Plant,12.98092997,77.59881685,Line-C,F003_Line-C_Press_10,Press,29-01-2025 17:50,Evening,110,7.98,6,High,OP032,normal operation,29-01-2025
R00104,F001,North Plant,28.70242882,77.10396714,Line-B,F001_Line-B_Press_1,Press,20-02-2025 08:45,Night,94,8.05,4,Medium,OP022,normal operation,20-02-2025
R00105,F003,South Plant,12.96876891,77.58577973,Line-C,F003_Line-C_Robot_3,Robot,02-03-2025 22:06,Day,143,7.36,2,Low,OP009,jam none jam,02-03-2025
R00106,F003,South Plant,12.96713566,77.5965409,Line-A,F003_Line-A_Milling_10,Milling,14-03-2025 19:29,Day,76,7.35,2,Low,OP043,sensor,14-03-2025
R00107,F001,North Plant,28.71513667,77.11975416,Line-C,F001_Line-C_Press_8,Press,25-01-2025 19:53,Day,79,5.42,3,Medium,OP004,overheat misalignment,25-01-2025
R00108,F002,East Plant,19.06370131,72.8759226,Line-B,F002_Line-B_CNC_6,CNC,13-02-2025 15:30,Night,92,6.7,1,Low,OP049,overheat overheat,13-02-2025
R00109,F002,East Plant,19.08250201,72.87670824,Line-B,F002_Line-B_CNC_2,CNC,03-03-2025 12:48,Day,139,9.39,3,Medium,OP002,normal operation,03-03-2025
R00110,F003,South Plant,12.95908461,77.60903765,Line-C,F003_Line-C_CNC_6,CNC,31-01-2025 08:46,Day,98,6.98,1,Low,OP042,jam,31-01-2025
R00111,F003,South Plant,12.97619929,77.60067514,Line-A,F003_Line-A_Robot_4,Robot,27-01-2025 00:37,Night,150,7.63,2,Low,OP002,normal operation,27-01-2025
R00112,F003,South Plant,12.96483608,77.6126094,Line-A,F003_Line-A_CNC_8,CNC,27-03-2025 10:15,Day,126,8.5,4,Medium,OP008,normal operation,27-03-2025
R00113,F003,South Plant,12.96883101,77.59434611,Line-A,F003_Line-A_Press_5,Press,18-02-2025 01:19,Day,71,4.88,4,Medium,OP011,normal operation,18-02-2025
R00114,F003,South Plant,12.96193024,77.59412289,Line-C,F003_Line-C_Milling_2,Milling,21-01-2025 23:06,Day,76,5.96,4,Medium,OP020,normal operation,21-01-2025
R00115,F001,North Plant,28.69533681,77.1028766,Line-C,F001_Line-C_CNC_5,CNC,16-03-2025 01:56,Evening,84,5.86,0,None,OP044,normal operation,16-03-2025
R00116,F002,East Plant,19.07028821,72.88342583,Line-B,F002_Line-B_Milling_4,Milling,10-01-2025 21:30,Day,88,7.32,3,Medium,OP038,normal operation,10-01-2025
R00117,F003,South Plant,12.96580537,77.6054901,Line-C,F003_Line-C_CNC_5,CNC,31-03-2025 01:19,Day,138,10.11,5,Medium,OP039,normal operation,31-03-2025
R00118,F001,North Plant,28.69758582,77.09766114,Line-C,F001_Line-C_Robot_6,Robot,11-03-2025 03:54,Night,147,8.39,1,Low,OP028,normal operation,11-03-2025
R00119,F003,South Plant,13.0012501,77.59363371,Line-B,F003_Line-B_CNC_6,CNC,02-01-2025 20:39,Night,104,6.42,3,Medium,OP027,normal operation,02-01-2025
R00120,F002,East Plant,19.07342623,72.86101416,Line-A,F002_Line-A_Press_6,Press,23-03-2025 10:26,Night,95,7.62,1,Low,OP030,normal operation,23-03-2025
R00121,F003,South Plant,12.95598193,77.61461737,Line-A,F003_Line-A_Press_9,Press,26-03-2025 08:39,Evening,102,7.23,2,Low,OP018,normal operation,26-03-2025
R00122,F003,South Plant,12.9863654,77.60840091,Line-C,F003_Line-C_Robot_8,Robot,26-02-2025 00:14,Night,163,8.06,1,Low,OP047,normal operation,26-02-2025
R00123,F003,South Plant,12.98308766,77.57720286,Line-B,F003_Line-B_Press_4,Press,12-01-2025 15:34,Evening,97,7.92,3,Medium,OP018,calibration power,12-01-2025
R00124,F001,North Plant,28.68854101,77.09977604,Line-B,F001_Line-B_Lathe_7,Lathe,13-02-2025 19:57,Night,41,4.5,1,Low,OP002,normal operation,13-02-2025
R00125,F002,East Plant,19.07251348,72.87420742,Line-B,F002_Line-B_CNC_4,CNC,15-02-2025 20:55,Night,101,5.96,2,Low,OP017,normal operation,15-02-2025
R00126,F002,East Plant,19.07278377,72.87318995,Line-B,F002_Line-B_Robot_5,Robot,13-03-2025 20:38,Night,169,8.63,5,Medium,OP001,misalignment overheat overheat,13-03-2025
R00127,F001,North Plant,28.72381669,77.10036865,Line-A,F001_Line-A_CNC_7,CNC,05-03-2025 04:29,Day,110,7.43,2,Low,OP036,normal operation,05-03-2025
R00128,F001,North Plant,28.69471532,77.10894268,Line-C,F001_Line-C_Press_8,Press,28-02-2025 03:07,Day,108,7.58,3,Medium,OP002,misalignment,28-02-2025
R00129,F002,East Plant,19.07750419,72.88134961,Line-A,F002_Line-A_Press_4,Press,10-02-2025 06:36,Day,86,6.78,3,Medium,OP043,normal operation,10-02-2025
R00130,F003,South Plant,12.96083339,77.60128408,Line-B,F003_Line-B_Press_9,Press,16-02-2025 18:03,Night,78,6.02,5,Medium,OP028,normal operation,16-02-2025
R00131,F003,South Plant,12.98165143,77.5920762,Line-C,F003_Line-C_Press_8,Press,04-02-2025 07:50,Evening,122,9.91,10,High,OP020,none jam,04-02-2025
R00132,F001,North Plant,28.710074,77.10951173,Line-A,F001_Line-A_Lathe_6,Lathe,17-01-2025 07:40,Evening,100,9.88,3,Medium,OP048,normal operation,17-01-2025
R00133,F003,South Plant,12.95881977,77.57816259,Line-C,F003_Line-C_CNC_4,CNC,03-03-2025 21:02,Night,123,8.26,0,None,OP018,normal operation,03-03-2025
R00134,F003,South Plant,12.97611095,77.58410993,Line-C,F003_Line-C_Milling_9,Milling,18-03-2025 11:14,Day,121,10.44,2,Low,OP019,vibration,18-03-2025
R00135,F001,North Plant,28.72034382,77.10575134,Line-B,F001_Line-B_CNC_3,CNC,09-02-2025 02:02,Evening,140,8.52,3,Medium,OP001,normal operation,09-02-2025
R00136,F003,South Plant,12.95973303,77.60990732,Line-C,F003_Line-C_CNC_1,CNC,08-01-2025 04:59,Night,132,9.26,0,None,OP036,normal operation,08-01-2025
R00137,F002,East Plant,19.07657796,72.88539658,Line-C,F002_Line-C_Milling_8,Milling,15-01-2025 00:23,Day,61,5.62,2,Low,OP001,normal operation,15-01-2025
R00138,F003,South Plant,12.96619678,77.59973541,Line-B,F003_Line-B_Press_8,Press,13-02-2025 12:11,Evening,93,7.6,4,Medium,OP012,normal operation,13-02-2025
R00139,F001,North Plant,28.70887004,77.07973087,Line-B,F001_Line-B_Milling_8,Milling,16-01-2025 17:48,Day,76,6.68,1,Low,OP005,normal operation,16-01-2025
R00140,F002,East Plant,19.07776511,72.88035404,Line-B,F002_Line-B_CNC_1,CNC,21-01-2025 06:07,Evening,153,10.49,2,Low,OP010,normal operation,21-01-2025
R00141,F003,South Plant,12.96592245,77.59892193,Line-B,F003_Line-B_CNC_4,CNC,16-01-2025 12:58,Day,127,8.81,3,Medium,OP036,normal operation,16-01-2025
R00142,F002,East Plant,19.06063052,72.88037751,Line-C,F002_Line-C_Lathe_10,Lathe,29-01-2025 06:57,Day,74,7.36,3,Medium,OP050,sensor vibration power,29-01-2025
R00143,F002,East Plant,19.08168983,72.89398397,Line-B,F002_Line-B_Milling_5,Milling,19-03-2025 02:19,Day,56,4.58,2,Low,OP028,normal operation,19-03-2025
R00144,F002,East Plant,19.08093383,72.88735408,Line-C,F002_Line-C_Lathe_10,Lathe,13-01-2025 19:40,Day,75,6.95,2,Low,OP049,jam,13-01-2025
R00145,F003,South Plant,12.95660413,77.58130357,Line-A,F003_Line-A_CNC_2,CNC,22-01-2025 05:16,Day,107,7.98,1,Low,OP016,normal operation,22-01-2025
R00146,F001,North Plant,28.69734014,77.10772778,Line-C,F001_Line-C_CNC_1,CNC,23-02-2025 01:47,Day,122,7.72,6,High,OP029,normal operation,23-02-2025
R00147,F003,South Plant,12.98373098,77.59601717,Line-C,F003_Line-C_Press_1,Press,30-01-2025 11:56,Night,43,3.43,1,Low,OP019,vibration calibration lubrication,30-01-2025
R00148,F002,East Plant,19.06529406,72.86880254,Line-C,F002_Line-C_Robot_2,Robot,31-03-2025 16:39,Day,167,8.09,3,Medium,OP015,normal operation,31-03-2025
R00149,F002,East Plant,19.07988579,72.90263,Line-C,F002_Line-C_Lathe_4,Lathe,24-02-2025 14:15,Night,59,4.98,2,Low,OP008,normal operation,24-02-2025
R00150,F003,South Plant,12.98636146,77.60543585,Line-A,F003_Line-A_Lathe_5,Lathe,20-01-2025 01:53,Night,80,7.81,6,High,OP005,overheat,20-01-2025
R00151,F001,North Plant,28.71122271,77.10370226,Line-B,F001_Line-B_Lathe_10,Lathe,08-02-2025 07:34,Day,85,8.79,2,Low,OP029,overheat,08-02-2025
R00152,F002,East Plant,19.07886917,72.87654378,Line-C,F002_Line-C_Press_7,Press,04-02-2025 13:57,Day,152,11.65,8,High,OP033,normal operation,04-02-2025
R00153,F003,South Plant,12.95503567,77.60716436,Line-B,F003_Line-B_Press_10,Press,07-01-2025 10:30,Day,119,10,1,Low,OP028,misalignment overheat lubrication,07-01-2025
R00154,F002,East Plant,19.07001506,72.86029018,Line-C,F002_Line-C_CNC_2,CNC,31-01-2025 21:03,Day,79,5.23,2,Low,OP044,normal operation,31-01-2025
R00155,F003,South Plant,12.95625701,77.60372435,Line-C,F003_Line-C_Milling_5,Milling,15-03-2025 14:10,Day,107,9.98,5,Medium,OP003,sensor,15-03-2025
